created_at,id,tweet_url,retweet_count,favorite_count,text,rating_numerator,rating_denominator,name,jpg_url,dog_type,dog_stage
07/2017,889880896479866881,https://twitter.com/dog_rates/status/889880896479866881/photo/1,5156,28268,this is bruno. he is a service shark. only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1xpqml29g,13.0,10,Bruno,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,
07/2017,889665388333682689,https://twitter.com/dog_rates/status/889665388333682689/photo/1,8538,38818,here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/bxvuxk0ucm,13.0,10,,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,puppo
07/2017,889638837579907072,https://twitter.com/dog_rates/status/889638837579907072/photo/1,4735,27672,this is ted. he does his best. sometimes that's not enough. but it's ok. 12/10 would assist https://t.co/f8dedcrksr,12.0,10,Ted,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,
07/2017,889531135344209921,https://twitter.com/dog_rates/status/889531135344209921/photo/1,2321,15359,this is stuart. he's sporting his favorite fanny pack. secretly filled with bones only. 13/10 puppared puppo #barkweek https://t.co/y70o6h3isq,13.0,10,Stuart,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden_retriever,puppo
07/2017,889278841981685760,https://twitter.com/dog_rates/status/889278841981685760/video/1,5637,25652,this is oliver. you're witnessing one of his many brutal attacks. seems to be playing with his victim. 13/10 fr*ckin frightening #barkweek https://t.co/wphvrqedpb,13.0,10,Oliver,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,
07/2017,888917238123831296,https://twitter.com/dog_rates/status/888917238123831296/photo/1,4709,29611,this is jim. he found a fren. taught him how to sit like the good boys. 12/10 for both https://t.co/chxruioujn,12.0,10,Jim,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden_retriever,
07/2017,888804989199671297,https://twitter.com/dog_rates/status/888804989199671297/photo/1,4559,26080,this is zeke. he has a new stick. very proud of it. would like you to throw it for him without taking it. 13/10 would do my best https://t.co/htq77ynq5k,13.0,10,Zeke,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden_retriever,
07/2017,888554962724278272,https://twitter.com/dog_rates/status/888554962724278272/photo/1,3732,20290,this is ralphus. he's powering up. attempting maximum borkdrive. 13/10 inspirational af https://t.co/ynyafcttik,13.0,10,Ralphus,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian_husky,
07/2017,888078434458587136,https://twitter.com/dog_rates/status/888078434458587136/photo/1,3653,22201,this is gerald. he was just told he didn't get the job he interviewed for. a h*ckin injustice. 12/10 didn't want the job anyway https://t.co/dk7idpfurx,12.0,10,Gerald,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,French_bulldog,
07/2017,887705289381826560,https://twitter.com/dog_rates/status/887705289381826560/photo/1,5609,30779,this is jeffrey. he has a monopoly on the pool noodles. currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/phruk20q64,13.0,10,Jeffrey,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,
07/2017,887473957103951883,https://twitter.com/dog_rates/status/887473957103951883/photo/1,18781,69871,this is canela. she attempted some fancy porch pics. they were unsuccessful. 13/10 someone help her https://t.co/clyzpcucmx,13.0,10,Canela,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,Pembroke,
07/2017,887343217045368832,https://twitter.com/dog_rates/status/887343217045368832/video/1,10737,34222,you may not have known you needed to see this today. 13/10 please enjoy (ig: emmylouroo) https://t.co/wzqnqygeyv,13.0,10,,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,Mexican_hairless,
07/2017,887101392804085760,https://twitter.com/dog_rates/status/887101392804085760/photo/1,6167,31061,this... is a jubilant antarctic house bear. we only rate dogs. please only send dogs. thank you... 12/10 would suffocate in floof https://t.co/4ad1jzjsdp,12.0,10,,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,Samoyed,floofer
07/2017,886983233522544640,https://twitter.com/dog_rates/status/886983233522544640/photo/1,8084,35859,this is maya. she's very shy. rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/i6ony0cgit,13.0,10,Maya,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,Chihuahua,
07/2017,886736880519319552,https://twitter.com/dog_rates/status/886736880519319552/photo/1,3443,12306,"this is mingus. he's a wonderful father to his smol pup. confirmed 13/10, but he needs your help

https://t.co/bvi0yr4cff https://t.co/isvkoskd5b",13.0,10,Mingus,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,kuvasz,
07/2017,886366144734445568,https://twitter.com/dog_rates/status/886366144734445568/photo/1,3316,21524,this is roscoe. another pupper fallen victim to spontaneous tongue ejections. get the blepipen immediate. 12/10 deep breaths roscoe https://t.co/rge08mijox,12.0,10,Roscoe,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,French_bulldog,pupper
07/2017,886258384151887873,https://twitter.com/dog_rates/status/886258384151887873/photo/1,6523,28469,this is waffles. his doggles are pupside down. unsure how to fix. 13/10 someone assist waffles https://t.co/xzda9qsq1o,13.0,10,Waffles,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,pug,
07/2017,885984800019947520,https://twitter.com/dog_rates/status/885984800019947520/photo/1,7097,33382,viewer discretion advised. this is jimbo. he will rip ur finger right h*ckin off. other dog clearly an accessory. 12/10 pls pet with caution https://t.co/buvep0umf1,12.0,10,Jimbo,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,Blenheim_spaniel,
07/2017,885528943205470208,https://twitter.com/dog_rates/status/885528943205470208/photo/1,6683,36689,this is maisey. she fell asleep mid-excavation. happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kq8i9jf,13.0,10,Maisey,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,pug,
07/2017,885167619883638784,https://twitter.com/dog_rates/status/885167619883638784/photo/1,4556,22367,here we have a corgi undercover as a malamute. pawbably doing important investigative work. zero control over tongue happenings. 13/10 https://t.co/44itamubbf,13.0,10,,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,malamute,
07/2017,884925521741709313,https://twitter.com/dog_rates/status/884925521741709313/photo/1,16439,68152,"this is earl. he found a hat. nervous about what you think of it. 12/10 it's delightful, earl https://t.co/myjvdlnrva",12.0,10,Earl,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,Italian_greyhound,
07/2017,884876753390489601,https://twitter.com/dog_rates/status/884876753390489601/photo/1,6096,28514,this is lola. it's her first time outside. must test the earth and taste the atmosphere. 13/10 you're doing great lola https://t.co/74tkauslko,13.0,10,Lola,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,chow,
07/2017,884562892145688576,https://twitter.com/dog_rates/status/884562892145688576/photo/1,5100,24765,this is kevin. he's just so happy. 13/10 what is your secret kevin https://t.co/1r4mfcbcx5,13.0,10,Kevin,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,pug,
07/2017,884441805382717440,https://twitter.com/dog_rates/status/884441805382717440/photo/1,5856,27478,"i present to you, pup in hat. pup in hat is great for all occasions. extremely versatile. compact as h*ck. 14/10 (ig: itselizabethgales) https://t.co/vvbocc2vdc",14.0,10,,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,Pembroke,
07/2017,884162670584377345,https://twitter.com/dog_rates/status/884162670584377345/photo/1,3128,20771,meet yogi. he doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/ysi00bztbz,12.0,10,Yogi,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,German_shepherd,doggo
07/2017,883838122936631299,https://twitter.com/dog_rates/status/883838122936631299/photo/1,3586,22349,this is noah. he can't believe someone made this mess. got the vacuum out for you though. offered to help clean pup. 12/10 super good boy https://t.co/v85xujjddy,12.0,10,Noah,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,Doberman,
07/2017,883482846933004288,https://twitter.com/dog_rates/status/883482846933004288/photo/1,10407,46860,"this is bella. she hopes her smile made you smile. if not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948",13.5,10,Bella,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,golden_retriever,
07/2017,883360690899218434,https://twitter.com/dog_rates/status/883360690899218434/photo/1,3825,22986,meet grizzwald. he may be the floofiest floofer i ever did see. lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661ifeyp,13.0,10,Grizzwald,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,chow,floofer
07/2017,883117836046086144,https://twitter.com/dog_rates/status/883117836046086144/photo/1,6949,37914,"please only send dogs. we don't rate mechanics, no matter how h*ckin good. thank you... 13/10 would sneak a pat https://t.co/se5fz9wp5e",13.0,10,,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,golden_retriever,
07/2017,882992080364220416,https://twitter.com/dog_rates/status/882992080364220416/photo/1,4122,24445,this is rusty. he wasn't ready for the first pic. clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyer0kpdxj,13.0,10,Rusty,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,Eskimo_dog,
07/2017,882762694511734784,https://twitter.com/dog_rates/status/882762694511734784/photo/1,5134,28903,this is gus. he's quite the cheeky pupper. already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/d43i96slvu,12.0,10,Gus,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,Labrador_retriever,pupper
07/2017,882627270321602560,https://twitter.com/dog_rates/status/882627270321602560/photo/1,6342,28382,this is stanley. he has his first swim lesson today. doggle straps adjusted. ready to go. 13/10 phelps is nervous (ig: stanleythe_corgi) https://t.co/nx52pgwh94,13.0,10,Stanley,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,Pembroke,
07/2017,882268110199369728,https://twitter.com/dog_rates/status/882268110199369728/photo/1,12118,45880,this is alfy. you're witnessing his first watermelon experience. i think it was a success. 13/10 happy 4th alfy 🇺🇸 https://t.co/fyp5rlutfa,13.0,10,Alfy,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,golden_retriever,
07/2017,882045870035918850,https://twitter.com/dog_rates/status/882045870035918850/photo/1,5203,29900,"this is koko. her owner, inspired by barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy koko https://t.co/zedpnskx7w",13.0,10,Koko,https://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,golden_retriever,
07/2017,881906580714921986,https://twitter.com/dog_rates/status/881906580714921986/photo/1,3533,24773,this is rey. he's a benebop cumberfloof. 12/10 dangerously pettable https://t.co/503cgwbhxq,12.0,10,Rey,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,Weimaraner,floofer
07/2017,881666595344535552,https://twitter.com/dog_rates/status/881666595344535552/photo/1,11099,51522,this is gary. he couldn't miss this puppertunity for a selfie. flawless focusing skills. 13/10 would boop intensely https://t.co/7cswcl8i6s,13.0,10,Gary,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,Saluki,pupper
07/2017,881536004380872706,https://twitter.com/dog_rates/status/881536004380872706/video/1,16570,50199,"here is a pupper approaching maximum borkdrive. zooming at never before seen speeds. 14/10 paw-inspiring af 
(ig: puffie_the_chow) https://t.co/ghxbiieqzf",14.0,10,,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,Samoyed,pupper
06/2017,880872448815771648,https://twitter.com/dog_rates/status/880872448815771648/photo/1,3989,21734,ugh not again. we only rate dogs. please don't send in well-dressed  floppy-tongued street penguins. dogs only please. thank you... 12/10 https://t.co/wiambtkdpf,12.0,10,,https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,Pembroke,
06/2017,880465832366813184,https://twitter.com/dog_rates/status/880465832366813184/photo/1,6546,29075,this is bella. she had her first beach experience this morning. complete success. 12/10 would perform a sandy boop https://t.co/4vsfysdmiw,12.0,10,Bella,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,golden_retriever,
06/2017,880221127280381952,https://twitter.com/dog_rates/status/880221127280381952/photo/1,4436,27640,meet jesse. he's a fetty woof. his tongue ejects without warning. a true bleptomaniac. 12/10 would snug well https://t.co/fuod0tvmvk,12.0,10,Jesse,https://pbs.twimg.com/media/DDcscbXU0AIfDzs.jpg,Chihuahua,
06/2017,880095782870896641,https://twitter.com/dog_rates/status/880095782870896641/photo/1,4533,28150,please don't send in photos without dogs in them. we're not @porch_rates. insubordinate and churlish. pretty good porch tho 11/10 https://t.co/haue8m3bu4,11.0,10,,https://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg,miniature_pinscher,
06/2017,879862464715927552,https://twitter.com/dog_rates/status/879862464715927552/photo/1,3642,22667,this is romeo. he would like to do an entrance. requesting your immediate assistance. 13/10 https://t.co/qh5aekrqm9,13.0,10,Romeo,https://pbs.twimg.com/media/DDXmPrbWAAEKMvy.jpg,basset,
06/2017,879492040517615616,https://twitter.com/dog_rates/status/879492040517615616/photo/1,3323,23822,this is bailey. he thinks you should measure ear length for signs of growth instead. 12/10 https://t.co/ixm9imkqq8,12.0,10,Bailey,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,German_short-haired_pointer,
06/2017,879415818425184262,https://twitter.com/dog_rates/status/879415818425184262/video/1,45849,107956,this is duddles. he did an attempt. 13/10 someone help him (vid by georgia felici) https://t.co/udt7zkctgy,13.0,10,Duddles,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,English_springer,
06/2017,879376492567855104,https://twitter.com/dog_rates/status/879376492567855104/photo/1,3261,17099,this is jack aka stephen furry. you're not scoring on him. unless he slips down the slide. 12/10 would happily get blocked by https://t.co/0goi601eaa,12.0,10,Jack,https://pbs.twimg.com/media/DDQsQGFV0AAw6u9.jpg,Labrador_retriever,
06/2017,879008229531029506,https://twitter.com/dog_rates/status/879008229531029506/photo/1,2812,19317,this is beau. that is beau's balloon. he takes it everywhere. 13/10 would protect at all costs https://t.co/ydtpcjipkn,13.0,10,Beau,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,vizsla,
06/2017,878776093423087618,https://twitter.com/dog_rates/status/878776093423087618/photo/1,4319,19763,this is snoopy. he's a proud #pridemonthpuppo. impeccable handwriting for not having thumbs. 13/10 would love back #pridemonth https://t.co/lnzwgno4gs,13.0,10,Snoopy,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,Italian_greyhound,puppo
06/2017,878281511006478336,https://twitter.com/dog_rates/status/878281511006478336/photo/1,1349,7913,"meet shadow. in an attempt to reach maximum zooming borkdrive, he tore his acl. still 13/10 tho. help him out below

https://t.co/245xjjelsy https://t.co/luiqh219v6",13.0,10,Shadow,https://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg,basset,
06/2017,878057613040115712,https://twitter.com/dog_rates/status/878057613040115712/photo/1,7181,42876,this is emmy. she was adopted today. massive round of pupplause for emmy and her new family. 14/10 for all involved https://t.co/cwtwnhmvpe,14.0,10,Emmy,https://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,French_bulldog,
06/2017,877736472329191424,https://twitter.com/dog_rates/status/877736472329191424/photo/1,17300,71144,this is aja. she was just told she's a good dog. suspicions confirmed. 13/10 would tell again https://t.co/lspyyaif1r,13.0,10,Aja,https://pbs.twimg.com/media/DC5YqoQW0AArOLH.jpg,Chesapeake_Bay_retriever,
06/2017,877556246731214848,https://twitter.com/dog_rates/status/877556246731214848/photo/1,3994,23258,this is penny. she's both pupset and fired pup. not pleased w your barbaric attempts at cleanliness. 12/10 would enjoy more shampoo options https://t.co/oyddlfogxp,12.0,10,Penny,https://pbs.twimg.com/media/DC20wEcW0AAf59m.jpg,basset,
06/2017,877316821321428993,https://twitter.com/dog_rates/status/877316821321428993/photo/1,5414,27907,"meet dante. at first he wasn't a fan of his new raincoat, then he saw his reflection. h*ckin handsome. 13/10 for water resistant good boy https://t.co/shrtio5pxc",13.0,10,Dante,https://pbs.twimg.com/media/DCza_vtXkAQXGpC.jpg,Saluki,
06/2017,877201837425926144,https://twitter.com/dog_rates/status/877201837425926144/photo/1,5880,27755,this is nelly. he graduated with his dogtorate today. wants to know if you're proud of him. 12/10 would give congratulatory boop https://t.co/4g4cfj3p4y,12.0,10,Nelly,https://pbs.twimg.com/media/DCxyahJWsAAddSC.jpg,Pembroke,
06/2017,876838120628539392,https://twitter.com/dog_rates/status/876838120628539392/photo/1,3506,21125,this is ginger. she's having a ruff monday. too many pupper things going on. h*ckin exhausting. 12/10 would snug passionately https://t.co/j211ocdrs6,12.0,10,Ginger,https://pbs.twimg.com/media/DCsnnZsVwAEfkyi.jpg,bloodhound,pupper
06/2017,876484053909872640,https://twitter.com/dog_rates/status/876484053909872640/photo/1,2511,19163,this is benedict. he wants to thank you for this delightful urban walk. hopes you know he loves you. 13/10 super duper good boy https://t.co/26bxueugbs,13.0,10,Benedict,https://pbs.twimg.com/media/DCnll_dUQAAkBdG.jpg,golden_retriever,
06/2017,876120275196170240,https://twitter.com/dog_rates/status/876120275196170240/photo/1,4903,28490,"meet venti, a seemingly caffeinated puppoccino. she was just informed the weekend would include walks, pats and scritches. 13/10 much excite https://t.co/ejexjfq3ek",13.0,10,Venti,https://pbs.twimg.com/media/DCiavj_UwAAcXep.jpg,Bernese_mountain_dog,puppo
06/2017,875747767867523072,https://twitter.com/dog_rates/status/875747767867523072/photo/1,4497,25773,"this is goose. he's a womanizer. cheeky as h*ck, but also deep. tongue slip game on another level. 13/10 will steal your girl https://t.co/v2wlacrjcn",13.0,10,Goose,https://pbs.twimg.com/media/DCdH8YpUQAAiEbL.jpg,Labrador_retriever,
06/2017,875144289856114688,https://twitter.com/dog_rates/status/875144289856114688/video/1,5081,22185,meet nugget and hank. nugget took hank's bone. hank is wondering if you would please return it to him. both 13/10 would not intervene https://t.co/ogith9ejnj,13.0,10,Nugget,https://pbs.twimg.com/ext_tw_video_thumb/875144175078957056/pu/img/BRi_l7vUdpb93Knf.jpg,Siberian_husky,
06/2017,875021211251597312,https://twitter.com/dog_rates/status/875021211251597312/photo/1,4922,26022,guys please stop sending pictures without any dogs in th- oh never mind hello excuse me sir. 12/10 stealthy as h*ck https://t.co/brcqoqc8aw,12.0,10,,https://pbs.twimg.com/media/DCSzF3NVoAAPzT4.jpg,West_Highland_white_terrier,
06/2017,874680097055178752,https://twitter.com/dog_rates/status/874680097055178752/photo/1,4875,28439,meet cash. he hath acquired a stick. a very good stick tbh. 12/10 would pat head approvingly https://t.co/lzhtizkurd,12.0,10,Cash,https://pbs.twimg.com/media/DCN85nGUwAAzG_q.jpg,Labrador_retriever,
06/2017,874296783580663808,https://twitter.com/dog_rates/status/874296783580663808/photo/1,4308,26651,this is jed. he may be the fanciest pupper in the game right now. knows it too. 13/10 would sign modeling contract https://t.co/0yplnnsmem,13.0,10,Jed,https://pbs.twimg.com/media/DCIgSR0XgAANEOY.jpg,cocker_spaniel,pupper
06/2017,874057562936811520,https://twitter.com/dog_rates/status/874057562936811520/photo/1,4125,23134,"i can't believe this keeps happening. this, is a birb taking a bath. we only rate dogs. please only send dogs. thank you... 12/10 https://t.co/pwy9pqhtp2",12.0,10,,https://pbs.twimg.com/media/DCFGtdoXkAEsqIw.jpg,flat-coated_retriever,
06/2017,874012996292530176,https://twitter.com/dog_rates/status/874012996292530176/photo/1,11007,35501,"this is sebastian. he can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #pridemonth puppo https://t.co/xbe0evjz6v",13.0,10,Sebastian,https://pbs.twimg.com/media/DCEeLxjXsAAvNSM.jpg,Cardigan,puppo
06/2017,873580283840344065,https://twitter.com/dog_rates/status/873580283840344065/photo/1,4143,24837,"we usually don't rate deck-bound saskatoon black bears, but this one is h*ckin flawless. sneaky tongue slip too. 13/10 would hug firmly https://t.co/mnumh9400n",13.0,10,,https://pbs.twimg.com/media/DB-UotKXkAEHXVi.jpg,Newfoundland,
06/2017,873213775632977920,https://twitter.com/dog_rates/status/873213775632977920/photo/1,1667,7467,"this is sierra. she's one precious pupper. absolute 12/10. been in and out of icu her whole life. help sierra below

https://t.co/xp01eu3qyd https://t.co/v5lkvrgldq",12.0,10,Sierra,https://pbs.twimg.com/media/DB5HTBGXUAE0TiK.jpg,vizsla,pupper
06/2017,872967104147763200,https://twitter.com/dog_rates/status/872967104147763200/photo/1,5669,28031,here's a very large dog. he has a date later. politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/emyidoblmr,12.0,10,,https://pbs.twimg.com/media/DB1m871XUAAw5vZ.jpg,Labrador_retriever,doggo
06/2017,872820683541237760,https://twitter.com/dog_rates/status/872820683541237760/photo/1,3884,15029,"here are my favorite #dogsatpollingstations 
most voted for a more consistent walking schedule and to increase daily pats tenfold. all 13/10 https://t.co/17fvml4vz5",13.0,10,,https://pbs.twimg.com/media/DBzhx0PWAAEhl0E.jpg,pug,
06/2017,872620804844003328,https://twitter.com/dog_rates/status/872620804844003328/photo/1,3911,21309,this is monkey. she's supporting owners everywhere with her fancy #pridemonth bandana. 13/10 love is love is love... https://t.co/lucpnzdpz9,13.0,10,Monkey,https://pbs.twimg.com/media/DBwr_hzXkAEnZBW.jpg,cocker_spaniel,
06/2017,872486979161796608,https://twitter.com/dog_rates/status/872486979161796608/photo/1,9429,41606,we. only. rate. dogs. do not send in other things like this fluffy floor shark clearly ready to attack. get it together guys... 12/10 https://t.co/bzhikx3fpq,12.0,10,,https://pbs.twimg.com/media/DBuyRlTUwAAYhG9.jpg,Pembroke,
06/2017,872261713294495745,https://twitter.com/dog_rates/status/872261713294495745/photo/1,6649,35085,this is harry. his ears are activated one at a time. incredibly rare to witness in person. very special moment here. 13/10 blessed as h*ck https://t.co/ejhvgdfwoa,13.0,10,Harry,https://pbs.twimg.com/media/DBrlZk2UQAAfAkd.jpg,Labrador_retriever,
06/2017,872122724285648897,https://twitter.com/dog_rates/status/872122724285648897/photo/1,8549,35324,this is kody. he's a baller. wishes he was a little bit taller. double dribbles often. still 12/10 would happily get dunked on https://t.co/pkspmiefwn,12.0,10,Kody,https://pbs.twimg.com/media/DBpm-5UXcAUeCru.jpg,pug,
06/2017,871879754684805121,https://twitter.com/dog_rates/status/871879754684805121/photo/1,11918,39090,say hello to lassie. she's celebrating #pridemonth by being a splendid mix of astute and adorable. proudly supupporting her owner. 13/10 https://t.co/uk6pnyeh9w,13.0,10,Lassie,https://pbs.twimg.com/media/DBmKAmBXUAE-pQ-.jpg,Shetland_sheepdog,puppo
06/2017,871762521631449091,https://twitter.com/dog_rates/status/871762521631449091/photo/1,3678,20787,this is rover. as part of pupper protocol he had to at least attempt to eat the plant. confirmed not tasty. needs peanut butter. 12/10 https://t.co/aivlji6qcg,12.0,10,Rover,https://pbs.twimg.com/media/DBkfY58XcAEdzZy.jpg,Labrador_retriever,pupper
06/2017,871515927908634625,https://twitter.com/dog_rates/status/871515927908634625/photo/1,3628,20730,this is napolean. he's a raggedy east nicaraguan zoom zoom. runs on one leg. built for deception. no eyes. good with kids. 12/10 great doggo https://t.co/pr7b7w1ruw,12.0,10,Napolean,https://pbs.twimg.com/media/DBg_HT9WAAEeIMM.jpg,komondor,doggo
06/2017,871032628920680449,https://twitter.com/dog_rates/status/871032628920680449/photo/1,3999,23255,"this is boomer. he's doing an advanced water takeoff. the opposite of sully. ears for control, mlem for style. 13/10 simply breathtaking https://t.co/nonpy2laoo",13.0,10,Boomer,https://pbs.twimg.com/media/DBaHi3YXgAE6knM.jpg,kelpie,
06/2017,870656317836468226,https://twitter.com/dog_rates/status/870656317836468226/photo/1,2817,12819,"this is cody. he zoomed too aggressively and tore his acl. happens to the best of us. still 13/10

help cody here: https://t.co/4hxndot1cv https://t.co/42ryyrq2q4",13.0,10,Cody,https://pbs.twimg.com/media/DBUxSSTXsAA-Jn1.jpg,Pembroke,
